,date,price,description,location,bedrooms,bathrooms,land,floor
0,04/09/2024,"Rp5,9 Miliar",Dijual Rumah Di Salemba Jakarta Pusat Langsung Pemilik,"Senen, Jakarta Pusat",5,3,228 m²,270 m²
1,28/08/2024,Rp700 Juta,Rumah Mewah 2lt Start 700jt Luas 90M2| Area CIBUBUR | 5 Menit Tol setu ( Cimanggis-Cibitung),"Pasar Rebo, Jakarta Timur",3,2,90 m²,59 m²
2,28/08/2024,Rp700 Juta,Rumah Mewah 2lt Start 700jt Luas 90M2| Area Cibubur,"Ciracas, Jakarta Timur",3,2,90 m²,60 m²
3,14/08/2024,"Rp3,6 Miliar","MURAH DIJUAL 3.6M NEGO KAWASAN KEBON JERUK JAKARTA BARAT , BEBAS BANJIR","Kebon Jeruk, Jakarta Barat",5,4,187 m²,178 m²
4,13/09/2024,Rp672 Juta,"Rumah Baru 2 Lantai Minimalis Modern Premium Dekat ke Stasiun di Parung Panjang, Bogor, Jawa Barat Dekat Stasiun 𝗖𝗶𝗰𝗶𝗹𝗮𝗻 𝗵𝗮𝗻𝘆𝗮 4𝗷𝘁/ 𝗯𝘂𝗹𝗮𝗻 ‼️ Tanpa DP, Cuma 3 Juta Langsung Akad ‼️","Jagakarsa, Jakarta Selatan",3,2,60 m²,60 m²
5,03/09/2024,"Rp3,3 Miliar",DI JUAL RUMAH  DI MENTENG JAKARTA PUSAT,"Setia Budi, Jakarta Selatan",5,3,196 m²,161 m²
6,13/09/2024,Rp11 Miliar,"DIJUAL Rumah Mewah, Besar, Luas dan Semi Furnished, 2 Lantai Lokasi Strategis di daerah Condet, Pasar Rebo, Jakarta Timur","Pasar Rebo, Jakarta Timur",5,5,619 m²,780 m²
7,13/09/2024,Rp10 Miliar,"DIJUAL Rumah Cantik, Besar, Luas 2 Lantai di dalam cluster, Lokasi Strategis di daerah Condet, Pasar Rebo, Jakarta Timur","Pasar Rebo, Jakarta Timur",6,5,574 m²,500 m²
8,12/09/2024,"Rp1,25 Miliar",Rumah Siap Huni dan Baru Renovasi,"Johar Baru, Jakarta Pusat",2,2,24 m²,72 m²
9,09/09/2024,"Rp5,8 Miliar",Dijual Rumah Ready Huni Di cempaka Putih Nyaman Aman dan Bersih,"Cempaka Putih, Jakarta Pusat",3,3,261 m²,199 m²
10,06/09/2024,"Rp3,33 Miliar",Rumah dijual LT 443 m LB 130 m 4 KT 2 KM,"Jagakarsa, Jakarta Selatan",3,1,443 m²,130 m²
11,03/09/2024,"Rp4,4 Miliar",Rumah di Kenari Golf dijual murah di Pantai Indah Kapuk,"Penjaringan, Jakarta Utara",3,3,120 m²,170 m²
12,02/09/2024,Rp30 Miliar,"Rumah 2 lantai di sungai sambas, melawai Jaksel milik old money Jaksel","Kebayoran Baru, Jakarta Selatan",3,2,245 m²,175 m²
13,02/09/2024,"Rp7,5 Miliar",TERMURAH JARANG ADA! Rumah Kemang Timur dijual harga murah dibawah NJOP jauh dibawah pasaran hitung tanah cocok untuk rumah kost tidak banjir lokasi strategis Bangka Mampang Prapatan Jakarta Selatan,"Mampang Prapatan, Jakarta Selatan",3,3,535 m²,330 m²
14,31/08/2024,"Rp4,2 Miliar",Rumah Minimalis Modern Baru Taman Alfa Indah Blok Favorit Dijamin Bebas Banjir Semi Furnish & Mewah Harga Masuk Akal,"Kembangan, Jakarta Barat",4,3,162 m²,220 m²
15,02/09/2024,Rp23 Miliar,Rumah dan Kost Strategis di Slipi,"Palmerah, Jakarta Barat",23,20,600 m²,900 m²
16,30/08/2024,Rp12 Miliar,HARUS SEGERA TERJUAL DALAM 2 MINGGU NEGO SAMPAI DEAL!! MEWAHHHHH!!! Rumah Sunter dijual harga murah bangunan baru dan kokoh siap huni full furnished dijamin untung jakarta utara,"Tanjung Priok, Jakarta Utara",6,5,308 m²,650 m²
17,26/08/2024,"Rp5,68 Miliar","Rumah Grogol dijual harga sangat murah di bawah pasaran, Minimalis, bagus dan siap huni, tidak banjir. jalan besar jakarta barat jl. dokter semeru petamburan","Grogol Petamburan, Jakarta Barat",4,4,338 m²,338 m²
18,23/08/2024,"Rp2,95 Miliar",RUMAH BAGUS HARGA MURAH FULL RENOVASI SIAP HUNI UKURAN 136M2 JAKARTA BARAT CITRA GARDEN 2 EXT,"Kali Deres, Jakarta Barat",3,2,136 m²,200 m²
19,23/08/2024,"Rp2,55 Miliar",Rumah Classic Cantik Di Jagakarsa Bangunan Luas Lokasi Strategis Pinggir Jalan Utama,"Jagakarsa, Jakarta Selatan",4,5,113 m²,190 m²
20,22/08/2024,"Rp1,65 Miliar","Jual Rumah Jakarta Barat murah butuh cepat siap huni 1,5 lantai Citra Garden 3 kalideres pegadungan","Kali Deres, Jakarta Barat",2,2,96 m²,100 m²
21,19/08/2024,"Rp9,5 Miliar",Dijual Rumah Dengan Halaman Luas kurang lebih 300m² Di Jeruk Purut Jakarta Selatan,"Cilandak, Jakarta Selatan",5,4,738 m²,700 m²
22,15/08/2024,"Rp5,11 Miliar",Rumah Baru Siap Huni Bintaro - Discovery Amore - Discovery Bintaro,"Kebayoran Baru, Jakarta Selatan",4,4,120 m²,144 m²
23,11/09/2024,"Rp5,5 Miliar",Cari Rumah Posisi Hook Asri Strategis di Tengah Kota Dekat K. Gading Rawamangun,"Pulo Gadung, Jakarta Timur",4,4,192 m²,235 m²
24,21/08/2024,"Rp4,7 Miliar","Rumah Permata Buana, Cluster Pulau Tidung, Jakarta Barat, 8x18 m², 2 Lt, SHM (TSI/16687)","Kembangan, Jakarta Barat",4,2,144 m²,148 m²
25,21/08/2024,Rp11 Miliar,"Turun Harga!! Rumah Komp. Pluit Putri, Penjaringan, 14x26 m², 3½ Lt, SHM (TSI/16376)","Penjaringan, Jakarta Utara",6,4,366 m²,837 m²
26,16/09/2024,Rp5 Miliar,"RUMAH BESAR FURNISH, PERUMAHAN KEBON JERUK BARU","Kebon Jeruk, Jakarta Barat",3,3,239 m²,275 m²
27,14/09/2024,Rp3 Miliar,DIJUAL TANAH & BANGUNAN MURAH LOKASI STRATEGIS BEBAS BANJIR,"Grogol Petamburan, Jakarta Barat",7,3,192 m²,209 m²
28,13/09/2024,"Rp7,9 Miliar","Dijual Rumah Cantik Baru Bangun dgn Jalan Boulevard di Pondok Kelapa, Duren Sawit, Jakarta Timur","Duren Sawit, Jakarta Timur",5,2,350 m²,550 m²
29,12/09/2024,"Rp2,91 Miliar","Rumah 2 Lantai 145/260m2 4KT/4KM Material Premium di PKP, Kelapa Dua Wetan, Ciracas, Jakarta Timur","Ciracas, Jakarta Timur",4,4,145 m²,260 m²
30,09/09/2024,"Rp10,5 Miliar",Rumah 2 Lantai 4 + 1 Kamar Tidur Sedayu City,"Cakung, Jakarta Timur",4,4,200 m²,246 m²
31,09/09/2024,"Rp13,5 Miliar",Rumah Siap Huni Ada Mushola di Cempaka Putih,"Cempaka Putih, Jakarta Pusat",4,4,513 m²,271 m²
32,08/09/2024,"Rp27,2 Miliar","200 mtr dari jalan raya, lebar jalan 2 mobil legah, daerah yang rapih,Murah, bebas banjir, cocok buat usaha","Jagakarsa, Jakarta Selatan",5,4,1819 m²,200 m²
33,07/09/2024,"Rp2,69 Miliar",Di Jual rumah BARU sedang tahap pembangunan lokasi Taman ratu jakarta barat. Bebas banjir,"Kebon Jeruk, Jakarta Barat",3,3,90 m²,126 m²
34,27/08/2024,"Rp5,3 Miliar",Rumah Mewah Megah dijual murah di Pondok Kelapa Duren Sawit,"Duren Sawit, Jakarta Timur",5,4,356 m²,333 m²
35,23/08/2024,"Rp1,55 Miliar",Rumah Mewah Harga Murah Akses Langsung Jalan M Kahfi 2,"Jagakarsa, Jakarta Selatan",3,3,70 m²,120 m²
36,20/08/2024,"Rp8,8 Miliar",Dijual Rumah Mewah 2 Lantai Daerah Tebet,"Tebet, Jakarta Selatan",8,7,325 m²,500 m²
37,17/09/2024,"Rp3,2 Juta",Rumah di Pejaten Barat Pasar Minggu Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",4,3,126 m²,300 m²
